region,year,period,value
Российская Федерация,2019,значение показателя за год,0
Российская Федерация,2020,значение показателя за год,4
Российская Федерация,2021,значение показателя за год,9
Российская Федерация,2022,январь,9
Российская Федерация,2022,февраль,9
Российская Федерация,2022,март,9
Российская Федерация,2022,апрель,9
Российская Федерация,2022,май,10
Российская Федерация,2022,июнь,10
Российская Федерация,2022,июль,10
Российская Федерация,2022,август,11
Российская Федерация,2022,сентябрь,11
Российская Федерация,2022,октябрь,12
Российская Федерация,2022,ноябрь,12
Российская Федерация,2022,декабрь,13
Российская Федерация,2023,январь,13
Российская Федерация,2023,февраль,13
Российская Федерация,2023,март,14
Российская Федерация,2023,апрель,14
Российская Федерация,2023,май,14
Республика Адыгея (Адыгея),2019,значение показателя за год,0
Республика Адыгея (Адыгея),2020,значение показателя за год,4
Республика Адыгея (Адыгея),2021,значение показателя за год,7
Республика Адыгея (Адыгея),2022,январь,7
Республика Адыгея (Адыгея),2022,февраль,7
Республика Адыгея (Адыгея),2022,март,7
Республика Адыгея (Адыгея),2022,апрель,7
Республика Адыгея (Адыгея),2022,май,7
Республика Адыгея (Адыгея),2022,июнь,9
Республика Адыгея (Адыгея),2022,июль,10
Республика Адыгея (Адыгея),2022,август,10
Республика Адыгея (Адыгея),2022,сентябрь,11
Республика Адыгея (Адыгея),2022,октябрь,11
Республика Адыгея (Адыгея),2022,ноябрь,11
Республика Адыгея (Адыгея),2022,декабрь,12
Республика Адыгея (Адыгея),2023,январь,12
Республика Адыгея (Адыгея),2023,февраль,12
Республика Адыгея (Адыгея),2023,март,12
Республика Адыгея (Адыгея),2023,апрель,16
Республика Адыгея (Адыгея),2023,май,16
Республика Алтай,2019,значение показателя за год,0
Республика Алтай,2020,значение показателя за год,4
Республика Алтай,2021,значение показателя за год,13
Республика Алтай,2022,январь,13
Республика Алтай,2022,февраль,13
Республика Алтай,2022,март,13
Республика Алтай,2022,апрель,13
Республика Алтай,2022,май,13
Республика Алтай,2022,июнь,13
Республика Алтай,2022,июль,13
Республика Алтай,2022,август,13
Республика Алтай,2022,сентябрь,13
Республика Алтай,2022,октябрь,14
Республика Алтай,2022,ноябрь,14
Республика Алтай,2022,декабрь,18
Республика Алтай,2023,январь,18
Республика Алтай,2023,февраль,18
Республика Алтай,2023,март,18
Республика Алтай,2023,апрель,18
Республика Алтай,2023,май,18
Республика Башкортостан,2019,значение показателя за год,0
Республика Башкортостан,2020,значение показателя за год,5
Республика Башкортостан,2021,значение показателя за год,9
Республика Башкортостан,2022,январь,9
Республика Башкортостан,2022,февраль,9
Республика Башкортостан,2022,март,9
Республика Башкортостан,2022,апрель,9
Республика Башкортостан,2022,май,9
Республика Башкортостан,2022,июнь,9
Республика Башкортостан,2022,июль,9
Республика Башкортостан,2022,август,9
Республика Башкортостан,2022,сентябрь,9
Республика Башкортостан,2022,октябрь,9
Республика Башкортостан,2022,ноябрь,10
Республика Башкортостан,2022,декабрь,13
Республика Башкортостан,2023,январь,13
Республика Башкортостан,2023,февраль,13
Республика Башкортостан,2023,март,13
Республика Башкортостан,2023,апрель,13
Республика Башкортостан,2023,май,13
Республика Бурятия,2019,значение показателя за год,0
Республика Бурятия,2020,значение показателя за год,7
Республика Бурятия,2021,значение показателя за год,11
Республика Бурятия,2022,январь,11
Республика Бурятия,2022,февраль,11
Республика Бурятия,2022,март,11
Республика Бурятия,2022,апрель,11
Республика Бурятия,2022,май,11
Республика Бурятия,2022,июнь,13
Республика Бурятия,2022,июль,14
Республика Бурятия,2022,август,15
Республика Бурятия,2022,сентябрь,15
Республика Бурятия,2022,октябрь,16
Республика Бурятия,2022,ноябрь,16
Республика Бурятия,2022,декабрь,17
Республика Бурятия,2023,январь,17
Республика Бурятия,2023,февраль,17
Республика Бурятия,2023,март,17
Республика Бурятия,2023,апрель,17
Республика Бурятия,2023,май,18
Республика Дагестан,2019,значение показателя за год,0
Республика Дагестан,2020,значение показателя за год,5
Республика Дагестан,2021,значение показателя за год,9
Республика Дагестан,2022,январь,9
Республика Дагестан,2022,февраль,9
Республика Дагестан,2022,март,9
Республика Дагестан,2022,апрель,9
Республика Дагестан,2022,май,10
Республика Дагестан,2022,июнь,11
Республика Дагестан,2022,июль,11
Республика Дагестан,2022,август,12
Республика Дагестан,2022,сентябрь,12
Республика Дагестан,2022,октябрь,13
Республика Дагестан,2022,ноябрь,13
Республика Дагестан,2022,декабрь,15
Республика Дагестан,2023,январь,15
Республика Дагестан,2023,февраль,15
Республика Дагестан,2023,март,15
Республика Дагестан,2023,апрель,15
Республика Дагестан,2023,май,15
Республика Ингушетия,2019,значение показателя за год,0
Республика Ингушетия,2020,значение показателя за год,5
Республика Ингушетия,2021,значение показателя за год,10
Республика Ингушетия,2022,январь,10
Республика Ингушетия,2022,февраль,10
