region,2018,2019,2020,2021
Российская Федерация,163,169,177,184
Республика Адыгея (Адыгея),182,187,194,201
Республика Алтай,162,168,175,190
Республика Башкортостан,172,176,184,191
Республика Бурятия,138,145,155,161
Республика Дагестан,154,158,166,172
Республика Ингушетия,127,141,148,155
Кабардино-Балкарская Республика,158,164,171,181
Республика Калмыкия,117,132,160,170
Карачаево-Черкесская Республика,126,138,154,160
Республика Карелия,162,164,171,178
Республика Коми,169,173,180,187
Республика Крым,161,164,171,178
Республика Марий Эл,175,179,186,193
Республика Мордовия,151,155,162,169
Республика Саха (Якутия),113,117,131,136
Республика Северная Осетия - Алания,154,158,165,172
Республика Татарстан (Татарстан),177,181,188,196
Республика Тыва,131,135,142,149
Удмуртская Республика,162,168,175,182
Республика Хакасия,161,165,172,179
Чеченская Республика,145,150,160,166
Чувашская Республика - Чувашия,179,185,192,199
Алтайский край,156,160,167,174
Забайкальский край,127,132,139,145
Камчатская край,156,159,166,174
Краснодарский край,166,169,176,183
Красноярский край,156,158,165,177
Пермский край,158,165,172,179
Приморский край,145,150,161,166
Ставропольский край,159,163,171,178
Хабаровский край,160,164,171,178
Амурская область,153,156,163,170
Архангельская область,152,155,162,172
Астраханская область,155,161,164,175
Белгородская область,179,183,190,198
Брянская область,161,164,170,178
Владимирская область,173,177,181,191
Волгоградская область,143,159,167,178
Вологодская область,157,169,176,184
Воронежская область,163,172,179,186
Ивановская область,170,174,181,188
Иркутская область,137,143,150,157
Калининградская область,176,184,191,198
Калужская область,155,173,180,190
Кемеровская область - Кузбасс,153,156,163,170
Кировская область,151,157,163,172
Костромская область,163,167,174,181
Курганская область,137,145,152,159
Курская область,169,174,181,188
Ленинградская область,179,185,192,199
Липецкая область,173,181,188,195
Магаданская область,151,160,167,175
Московская область,197,201,208,215
Мурманская область,182,186,193,200
Нижегородская область,170,176,183,190
Новгородская область,178,188,195,202
Новосибирская область,145,148,152,162
Омская область,134,142,150,157
Оренбургская область,155,161,168,175
Орловская область,166,179,186,193
Пензенская область,153,165,172,179
Псковская область,167,169,176,184
Ростовская область,157,167,174,181
Рязанская область,158,166,173,180
Самарская область,157,160,171,176
Саратовская область,164,170,177,184
Сахалинская область,152,160,170,175
Свердловская область,165,172,179,186
Смоленская область,163,167,174,181
Тамбовская область,171,180,184,194
Тверская область,164,168,175,182
Томская область,157,167,174,181
Тульская область,168,171,178,185
Тюменская область,192,197,204,211
Ульяновская область,162,168,175,182
Челябинская область,162,170,177,184
Ярославская область,184,191,198,205
Город Москва столица Российской Федерации город федерального значения,276,283,288,293
Город Санкт-Петербург город федерального значения,238,243,249,256
Город федерального зачения Севастополь,169,172,179,186
Еврейская автономная область,142,146,153,160
Ненецкий автономный округ ,170,174,189,191
Ханты-Мансийский автономный округ - Югра,168,181,189,195
Чукотский автономный округ,160,167,174,181
Ямало-Ненецкий автономный округ,175,188,195,202
